2137632,-0.95,-0.01,1.28
2164672,-0.95,-0.01,1.19
2191716,-0.96,0.01,1.05
2217724,-0.95,-0.00,0.93
2244744,-0.94,-0.04,0.76
2271788,-0.93,-0.03,0.53
2298812,-0.94,-0.10,0.13
2325868,-0.95,-0.20,-0.26
2353932,-0.96,-0.02,-0.72
2382020,-0.97,0.02,-1.16
2409056,-0.92,-0.11,-1.67
2437152,-0.96,-0.05,-2.25
2465244,-0.93,-0.15,-2.86
2493316,-0.94,-0.15,-3.50
2521408,-0.95,-0.12,-4.19
2549476,-0.94,-0.12,-4.91
2577564,-0.94,-0.18,-5.71
2605640,-0.94,-0.17,-6.52
2633720,-0.95,-0.13,-7.38
2661812,-0.94,-0.24,-8.29
2689876,-0.94,-0.19,-9.25
2717956,-0.93,-0.22,-10.24
2747072,-0.93,-0.25,-11.30
2776200,-0.93,-0.30,-12.45
2805308,-0.93,-0.31,-13.55
2834432,-0.93,-0.33,-14.82
2863564,-0.92,-0.30,-16.08
2892672,-0.90,-0.33,-17.31
2921804,-0.91,-0.37,-18.71
2950920,-0.90,-0.38,-20.07
2980028,-0.89,-0.44,-21.51
3009140,-0.88,-0.42,-22.95
3038276,-0.87,-0.43,-24.35
3067384,-0.86,-0.40,-25.62
3096512,-0.85,-0.46,-26.88
3125640,-0.86,-0.44,-28.12
3154740,-0.85,-0.51,-29.24
3183864,-0.82,-0.50,-30.43
3212972,-0.79,-0.53,-31.55
3242100,-0.78,-0.53,-32.61
3271228,-0.78,-0.55,-33.59
3300360,-0.78,-0.56,-34.55
3329464,-0.77,-0.63,-35.47
3358568,-0.76,-0.62,-36.31
3387704,-0.73,-0.61,-37.16
3416820,-0.71,-0.66,-37.94
3445936,-0.71,-0.60,-38.63
3475060,-0.70,-0.66,-39.29
3504184,-0.71,-0.68,-39.95
3533292,-0.71,-0.72,-40.53
3562416,-0.69,-0.64,-41.07
3591548,-0.67,-0.68,-41.57
3620660,-0.66,-0.69,-42.00
3649792,-0.65,-0.69,-42.38
3678896,-0.65,-0.69,-42.74
3707992,-0.67,-0.67,-43.05
3737140,-0.66,-0.70,-43.30
3766248,-0.65,-0.71,-43.50
3795380,-0.64,-0.73,-43.66
3824488,-0.64,-0.70,-43.66
3853620,-0.65,-0.53,-43.71
3882740,-0.64,-0.57,-43.76
3911872,-0.63,-0.78,-43.69
3940972,-0.64,-0.71,-43.64
3970104,-0.62,-0.72,-43.51
3999220,-0.66,-0.71,-43.35
4028328,-0.66,-0.71,-43.13
4057468,-0.66,-0.68,-42.85
4086568,-0.67,-0.72,-42.55
4115700,-0.65,-0.73,-42.20
